,gen,pA,pB,pD,tJ,tF,tG,tH,error,min_error
0,0,7.183961319835298,15.0666176159293,11.46545641675742,0.631352668152198,0.42874753104649,0.8257246286066101,0.865704405549146,5029.91195,5029.91195
1,1,6.5985519708985585,15.0666176159293,11.46545641675742,0.631352668152198,0.42874753104649,0.8257246286066101,0.865704405549146,5061.24729,5029.91195
2,2,7.183961319835298,13.376197750379745,11.46545641675742,0.631352668152198,0.42874753104649,0.8257246286066101,0.865704405549146,4898.61366,4898.61366
3,3,7.183961319835298,13.376197750379745,11.46545641675742,0.631352668152198,0.42874753104649,0.9004755952343131,0.865704405549146,4796.24476,4796.24476
4,4,7.183961319835298,12.817277461319783,11.46545641675742,0.631352668152198,0.42874753104649,0.9004755952343131,0.865704405549146,4757.50172,4757.50172
5,5,7.183961319835298,12.817277461319783,11.46545641675742,0.631352668152198,0.42874753104649,0.9004755952343131,0.8711871591125475,4744.1191,4744.1191
6,6,7.183961319835298,12.817277461319783,12.237146592892657,0.631352668152198,0.42874753104649,0.9004755952343131,0.8711871591125475,4853.60345,4744.1191
7,7,7.183961319835298,12.817277461319783,11.46545641675742,0.7453627302029866,0.42874753104649,0.9004755952343131,0.8711871591125475,4874.03064,4744.1191
8,8,7.063725076853012,12.817277461319783,11.46545641675742,0.631352668152198,0.42874753104649,0.9004755952343131,0.8711871591125475,4823.86833,4744.1191
9,9,7.183961319835298,12.817277461319783,11.46545641675742,0.631352668152198,0.4345275691162161,0.9004755952343131,0.8711871591125475,4726.13451,4726.13451
